ID,Peak1,Peak2,Peak3,Cen1,Cen2,Cen3,Size1,Size2,Size3,Peak,Sum,Volume,Angle,Edge
1,29,59,6,29.122,59.478,6.188,0.858,1.047,2.068,2.348,97.369,97,87,1
2,11,72,3,10.477,72.543,2.964,1.521,1.372,0.991,1.943,111.825,103,33,1
3,25,65,12,25.009,65.012,10.981,0.875,1.005,1.042,2.041,46.065,42,-76,0
4,46,33,30,44.848,34.812,26.279,1.838,2.117,4.193,2.197,245.070,229,-50,0
5,45,24,35,46.307,25.199,35.256,2.604,1.960,5.541,4.464,2325.246,1542,29,0
6,41,41,44,41.270,40.618,43.799,2.900,1.730,5.582,5.236,2481.319,1522,-14,0
7,45,39,37,45.583,34.104,43.902,1.708,3.039,6.786,3.071,1670.915,1272,-74,0
8,39,19,37,39.045,18.615,36.462,1.243,1.212,1.423,1.827,103.816,97,42,0
9,39,39,32,40.902,37.743,29.104,2.747,1.533,2.842,2.045,283.322,253,-23,0
10,34,43,53,34.810,43.106,52.555,0.926,0.893,1.718,1.954,48.534,44,-30,0
11,38,18,41,36.907,17.494,42.480,1.459,1.086,1.246,1.619,85.800,79,21,0
12,86,26,26,86.327,26.405,24.550,0.984,1.144,2.015,2.798,152.504,127,-59,0
13,28,44,46,28.976,44.066,44.419,0.933,1.058,1.277,1.627,59.433,56,64,0
14,26,46,47,25.166,46.199,48.354,1.153,1.218,2.120,2.135,152.222,135,-77,0
15,54,44,45,53.868,43.745,47.573,1.050,0.949,1.821,2.101,106.831,100,21,0
16,63,29,57,63.520,30.645,56.581,1.684,2.561,5.016,5.496,1374.751,989,67,0
17,4,40,55,4.109,40.044,55.513,0.962,1.155,3.486,2.308,218.867,206,-71,0
18,2,34,55,2.828,33.057,56.720,1.374,1.189,1.974,2.066,184.026,163,-20,1
19,36,18,51,35.387,16.430,52.387,1.215,1.216,1.501,1.580,111.427,108,45,0
20,35,16,60,35.039,16.023,57.361,1.032,1.149,1.260,1.618,71.600,71,-66,0
21,36,24,60,35.978,24.077,58.981,1.376,1.621,3.153,1.735,306.797,283,68,0
22,27,9,57,27.916,8.075,55.511,1.047,1.005,1.754,1.540,83.767,83,-15,0
23,30,38,57,29.765,38.081,56.428,0.968,0.940,1.795,1.956,75.282,67,-36,0
24,29,38,60,28.867,37.966,59.657,1.687,1.160,0.841,1.726,61.939,57,4,0
25,31,38,66,30.954,39.364,64.172,1.528,1.725,1.773,1.998,255.000,226,55,0
26,31,39,71,31.957,40.503,73.241,1.274,1.602,3.864,2.140,368.729,328,60,0
27,23,37,63,22.840,37.357,60.213,1.330,1.039,1.276,1.673,87.288,84,-22,0
28,67,51,57,67.458,50.716,57.997,1.214,1.121,1.142,1.808,64.171,63,-28,0
29,78,56,64,77.724,55.371,62.442,2.103,1.577,3.154,2.675,608.739,507,-18,0
30,71,51,62,71.021,51.369,60.724,0.921,1.137,1.689,1.946,90.641,84,80,0
31,14,47,60,13.811,47.157,62.552,0.955,0.943,1.302,1.818,62.075,58,12,0
32,79,13,80,79.843,13.106,80.406,1.895,2.329,5.759,3.904,2098.780,1415,-66,0
33,79,15,90,77.180,14.360,98.331,3.034,2.035,5.515,3.157,745.270,576,26,0
34,49,5,87,48.963,6.236,87.647,1.581,3.777,3.166,2.517,621.246,512,-74,1
35,51,9,98,50.891,9.027,97.600,2.317,2.014,4.485,5.854,1668.792,1061,-26,0
36,64,32,101,63.314,31.993,101.763,3.234,2.798,3.903,5.436,2770.461,1555,-36,0
37,70,28,103,70.830,27.090,102.523,2.474,2.089,4.489,5.323,1757.242,928,-20,0
38,94,22,106,90.961,24.418,106.057,4.341,5.456,4.345,6.835,8576.129,4059,58,1
39,83,22,106,79.431,23.769,106.011,3.154,2.686,2.749,5.249,1893.706,1052,31,0
40,76,24,101,75.292,23.329,100.948,1.737,2.135,2.701,4.107,769.667,442,64,0
41,95,15,107,94.906,14.681,106.221,1.605,2.396,4.335,4.426,1046.904,649,69,1
42,96,30,121,93.851,29.851,119.226,2.517,4.616,5.042,5.616,6086.639,2588,-83,1
43,88,36,127,87.402,36.567,125.516,2.641,2.013,3.696,5.864,2413.266,985,-18,0
44,84,35,131,83.890,33.959,134.309,3.591,3.413,4.696,5.731,4981.314,2403,40,0
45,90,30,128,92.320,28.562,130.922,2.535,2.787,3.767,5.447,1727.511,776,-54,1
46,91,45,127,91.597,44.432,125.595,2.647,1.809,3.651,5.014,1017.258,534,-24,1
47,93,34,127,94.451,35.470,133.222,1.765,3.949,3.856,4.513,2074.223,961,-78,1
48,87,39,130,83.042,43.391,129.589,3.662,2.579,3.413,4.862,3004.104,1487,10,0
49,86,26,122,86.296,26.421,120.804,2.429,3.650,2.593,5.220,1678.227,933,-77,0
50,81,22,126,79.696,21.624,126.847,4.014,2.110,3.899,5.359,2450.442,1404,-8,0
51,97,47,130,95.731,45.863,127.083,1.159,3.091,3.464,5.140,1167.109,616,83,1
52,79,47,128,72.124,44.355,129.427,4.894,3.013,2.380,3.446,1404.352,994,27,0
53,81,53,127,81.618,52.584,127.260,1.639,1.829,2.238,4.108,487.161,335,51,0
54,71,25,123,70.235,24.565,122.518,1.899,1.717,5.541,3.799,1108.202,799,-14,0
