ID,Peak1,Peak2,Peak3,Cen1,Cen2,Cen3,Size1,Size2,Size3,Peak,Sum,Volume,Angle,Edge
1,18.267,0.483,5.811,18.266,0.487,5.843,25.740,31.410,0.343,2.348,16.167,97,87,1
2,18.417,0.592,5.313,18.421,0.596,5.307,45.630,41.160,0.165,1.943,18.567,103,33,1
3,18.300,0.533,6.808,18.300,0.533,6.638,26.250,30.150,0.173,2.041,7.649,42,-76,0
4,18.125,0.267,9.796,18.135,0.282,9.179,55.140,63.510,0.696,2.197,40.692,229,-50,0
5,18.133,0.192,10.627,18.122,0.202,10.669,78.120,58.800,0.920,4.464,386.085,1542,29,0
6,18.167,0.333,12.121,18.164,0.330,12.088,87.000,51.900,0.927,5.236,411.999,1522,-14,0
7,18.133,0.317,10.959,18.128,0.276,12.105,51.240,91.170,1.127,3.071,277.439,1272,-74,0
8,18.183,0.150,10.959,18.183,0.147,10.869,37.290,36.360,0.236,1.827,17.238,97,42,0
9,18.183,0.317,10.128,18.167,0.306,9.648,82.410,45.990,0.472,2.045,47.043,253,-23,0
10,18.225,0.350,13.615,18.218,0.351,13.541,27.780,26.790,0.285,1.954,8.059,44,-30,0
11,18.192,0.142,11.623,18.201,0.137,11.869,43.770,32.580,0.207,1.619,14.246,79,21,0
12,17.792,0.208,9.132,17.789,0.212,8.891,29.520,34.320,0.335,2.798,25.322,127,-59,0
13,18.275,0.358,12.453,18.267,0.359,12.191,27.990,31.740,0.212,1.627,9.868,56,64,0
14,18.292,0.375,12.619,18.299,0.377,12.844,34.590,36.540,0.352,2.135,25.275,135,-77,0
15,18.058,0.358,12.287,18.059,0.356,12.714,31.500,28.470,0.302,2.101,17.738,100,21,0
16,17.983,0.233,14.279,17.979,0.247,14.210,50.520,76.830,0.833,5.496,228.264,989,67,0
17,18.475,0.325,13.947,18.474,0.325,14.033,28.860,34.650,0.579,2.308,36.341,206,-71,0
18,18.492,0.275,13.947,18.485,0.267,14.233,41.220,35.670,0.328,2.066,30.556,163,-20,1
19,18.208,0.142,13.283,18.213,0.129,13.514,36.450,36.480,0.249,1.580,18.501,108,45,0
20,18.217,0.125,14.778,18.216,0.125,14.339,30.960,34.470,0.209,1.618,11.888,71,-66,0
21,18.208,0.192,14.778,18.209,0.192,14.608,41.280,48.630,0.524,1.735,50.941,283,68,0
22,18.283,0.067,14.279,18.276,0.059,14.032,31.410,30.150,0.291,1.540,13.909,83,-15,0
23,18.258,0.308,14.279,18.260,0.309,14.185,29.040,28.200,0.298,1.956,12.500,67,-36,0
24,18.267,0.308,14.778,18.268,0.308,14.721,50.610,34.800,0.140,1.726,10.284,57,4,0
25,18.250,0.308,15.774,18.250,0.320,15.470,45.840,51.750,0.294,1.998,42.340,226,55,0
26,18.250,0.317,16.604,18.242,0.329,16.976,38.220,48.060,0.642,2.140,61.224,328,60,0
27,18.317,0.300,15.276,18.318,0.303,14.813,39.900,31.170,0.212,1.673,14.493,84,-22,0
28,17.950,0.417,14.279,17.946,0.414,14.445,36.420,33.630,0.190,1.808,10.655,63,-28,0
